74 ,E 134TH ST AND INDIANA AVE,134TH ST AND MLK DRIVE
75 ,E 134TH ST AND LANGLEY AVE,134TH ST AND EVANS AVE
76 ,E 134TH ST AND DR MARTIN LUTHER KING JR DR,134TH ST AND VERNON AVE
77 ,E 134TH ST AND ST. LAWRENCE AVE,134TH ST AND LANGLEY AVE
78 ,E 134TH ST AND VERNON AVE,134TH ST AND EBERHART AVE
79 ,E 135TH PL AND INDIANA AVE,135TH PL AND FOREST AVE
80 ,9300 S BURNSIDE AVE,9332 S BURNSIDE AVE 
81 ,S CALUMET AVE AND 117TH ST,11740 S CALUMET AVE 
82 ,S CALUMET AVE AND 13513 S,13559 S CALUMET AVE 
83 ,S CORLISS AVE AND 134TH ST,S CORLISS AVE AND 134TH PL
84 ,S EDBROOKE AVE AND 120TH PL,S EDBROOKE AVE AND 121ST ST
85 ,S EVANS AVE AND 134TH ST,S EVANS AVE AND 134TH PL
86 ,S FOREST AVE AND 134TH ST,S FOREST AVE AND 134TH PL
87 ,S FOREST AVE AND 135TH PL,S FOREST AVE AND 136TH ST
88 ,S FRONT AVE AND 116TH ST,S FRONT AVE AND 117TH ST
89 ,S FRONT AVE AND 117TH ST,11725 S FRONT AVE 
90 ,S INDIANA AVE AND 122ND PL,S INDIANA AVE AND 123RD ST
91 ,S INDIANA AVE AND 122ND ST,S INDIANA AVE AND 122ND PL
92 ,ST S LAWRENCE AVE AND 134TH ST,ST S LAWRENCE AVE AND 134TH PL
93 ,S VERNON AVE AND 134TH PL,S VERNON AVE AND 134TH ST
94 ,S WENTWORTH AVE AND BRAYTON ST,S WENTWORTH AVE AND 127TH ST
95 ,E 101ST ST AND ESCANABA AVE,101ST ST AND EXCHANGE AVE
96 ,E 101ST ST AND EXCHANGE AVE,101ST ST AND COMMERCIAL AVE
97 ,E 101ST ST AND MUSKEGON AVE,101ST ST AND ESCANABA AVE
98 ,E 102ND ST AND ESCANABA AVE,102ND ST AND EXCHANGE AVE
99 ,E 102ND ST AND MUSKEGON AVE,102ND ST AND ESCANABA AVE
100,E 103RD ST AND AVENUE O AVE,103RD ST AND AVENUE N AVE
101,E 103RD ST AND COMMERCIAL AVE,2918 E 103RD ST 
102,3244 E 103RD ST,103RD ST AND GREEN BAY AVE
103,E 103RD ST AND ESCANABA AVE,103RD ST AND COMMERCIAL AVE
104,E 103RD ST AND GREEN BAY AVE,103RD ST AND AVENUE O AVE
105,2814 E 103RD ST,103RD ST AND MUSKEGON AVE
106,E 103RD ST AND MUSKEGON AVE,103RD ST AND ESCANABA AVE
107,E 104TH ST AND CRANDON AVE,104TH ST AND OGLESBY AVE
108,3346 E 104TH ST,104TH ST AND GREEN BAY AVE
109,E 104TH ST AND GREEN BAY AVE,104TH ST AND AVENUE O AVE
110,E 107TH ST AND AVENUE L AVE,107TH ST AND EWING AVE
111,E 107TH ST AND AVENUE M AVE,107TH ST AND AVENUE L AVE
112,E 107TH ST AND AVENUE N AVE,107TH ST AND AVENUE M AVE
113,E 107TH ST AND AVENUE O AVE,107TH ST AND AVENUE N AVE
114,E 107TH ST AND GREEN BAY AVE,107TH ST AND AVENUE O AVE
115,E 109TH ST AND BUFFALO AVE,109TH ST AND MACKINAW AVE
116,E 109TH ST AND BURLEY AVE,109TH ST AND BUFFALO AVE
117,E 109TH ST AND GREEN BAY AVE,109TH ST AND AVENUE O AVE
118,E 109TH ST AND MACKINAW AVE,109TH ST AND GREEN BAY AVE
119,E 110TH ST AND AVENUE L AVE,110TH ST AND EWING AVE
120,E 110TH ST AND AVENUE M AVE,110TH ST AND AVENUE L AVE
121,E 110TH ST AND AVENUE N AVE,110TH ST AND AVENUE M AVE
122,E 110TH ST AND AVENUE O AVE,110TH ST AND AVENUE N AVE
123,E 110TH ST AND BUFFALO AVE,110TH ST AND MACKINAW AVE
124,E 110TH ST AND BURLEY AVE,110TH ST AND BUFFALO AVE
125,E 110TH ST AND GREEN BAY AVE,110TH ST AND AVENUE O AVE
126,E 110TH ST AND MACKINAW AVE,110TH ST AND GREEN BAY AVE
